config,file_type,size_bytes,actual_optimal,rule_algorithm,rule_confidence,rule_correct,ml_algorithm,ml_confidence,ml_is_fallback,ml_correct,hybrid_algorithm,hybrid_confidence,hybrid_method,hybrid_correct,rule_ml_agree,hybrid_outperforms_rule,hybrid_outperforms_ml,hybrid_worse_than_rule,hybrid_worse_than_ml
jpg_64,jpg,64,AES-256,ChaCha20,high,False,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,False,False
mp4_64,mp4,64,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921198,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
pdf_64,pdf,64,AES-256,ChaCha20,high,False,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,False,False
png_64,png,64,AES-256,ChaCha20,high,False,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,False,False
sql_64,sql,64,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921198,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
txt_64,txt,64,ChaCha20,ChaCha20,high,True,AES-128,0.8319892233370494,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
zip_64,zip,64,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
jpg_1024,jpg,1024,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
mp4_1024,mp4,1024,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
pdf_1024,pdf,1024,AES-128,ChaCha20,high,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
png_1024,png,1024,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
sql_1024,sql,1024,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
txt_1024,txt,1024,ChaCha20,ChaCha20,high,True,AES-128,0.8319892233370494,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
zip_1024,zip,1024,ChaCha20,ChaCha20,high,True,AES-128,0.8499442937921198,False,False,AES-128,high,ml_preferred,False,False,False,False,True,False
jpg_10240,jpg,10240,AES-128,ChaCha20,high,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
mp4_10240,mp4,10240,AES-128,ChaCha20,high,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
pdf_10240,pdf,10240,AES-128,ChaCha20,high,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
png_10240,png,10240,AES-256,ChaCha20,high,False,AES-128,0.8499442937921199,False,False,AES-128,high,ml_preferred,False,False,False,False,False,False
sql_10240,sql,10240,AES-128,ChaCha20,high,False,AES-128,0.8499442937921198,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
txt_10240,txt,10240,AES-128,ChaCha20,high,False,AES-128,0.8319892233370494,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
zip_10240,zip,10240,AES-128,ChaCha20,high,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
jpg_102400,jpg,102400,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
mp4_102400,mp4,102400,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
pdf_102400,pdf,102400,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
png_102400,png,102400,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
sql_102400,sql,102400,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
txt_102400,txt,102400,AES-128,ChaCha20,medium,False,AES-128,0.8319892233370494,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
zip_102400,zip,102400,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
jpg_1048576,jpg,1048576,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
mp4_1048576,mp4,1048576,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
pdf_1048576,pdf,1048576,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921198,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
png_1048576,png,1048576,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
sql_1048576,sql,1048576,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
txt_1048576,txt,1048576,AES-128,ChaCha20,medium,False,AES-128,0.8319892233370494,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
zip_1048576,zip,1048576,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921198,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
jpg_10485760,jpg,10485760,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
mp4_10485760,mp4,10485760,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
pdf_10485760,pdf,10485760,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
png_10485760,png,10485760,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
sql_10485760,sql,10485760,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
txt_10485760,txt,10485760,AES-128,ChaCha20,medium,False,AES-128,0.8319892233370494,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
zip_10485760,zip,10485760,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
jpg_104857600,jpg,104857600,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
mp4_104857600,mp4,104857600,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
pdf_104857600,pdf,104857600,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
png_104857600,png,104857600,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921201,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
sql_104857600,sql,104857600,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
txt_104857600,txt,104857600,AES-128,ChaCha20,medium,False,AES-128,0.8319892233370494,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
zip_104857600,zip,104857600,AES-128,ChaCha20,medium,False,AES-128,0.8499442937921199,False,True,AES-128,high,ml_preferred,True,False,True,False,False,False
